Categoria;Cargo;Vantagens;Descontos ;Líquido;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;8168;1449;6719;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;3432;188;3244;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;7085;1099;5986;;
A DISPOSICAO COMISSIONADO;SERVIDOR EMLURB DISP.CAMARA;894;98;795;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;10407;2064;8342;;
A DISPOSICAO COMISSIONADO;SERVIDOR URB DISP.CAMARA;894;71;822;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;7831;1356;6475;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;9941;1936;8004;;
A DISPOSICAO COMISSIONADO;SERVIDOR PCR DISP.CAMARA;5786;1198;4588;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;7945;1335;6609;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;13719;2975;10744;;
A DISPOSICAO COMISSIONADO;SERVIDOR PCR DISP.CAMARA;894;0;894;;
A DISPOSICAO COMISSIONADO;SERVIDOR PCR DISP.CAMARA;1192;0;1192;;
A DISPOSICAO;SERVIDOR PCR DISP.CAMARA;0;0;0;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;7022;1029;5993;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;12368;2604;9764;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;11882;2470;9412;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;6553;980;5572;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;8168;1345;6824;;
VEREADORES;VEREADOR;14635;2884;11751;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;11110;2258;8852;;
A DISPOSICAO COMISSIONADO;SERVIDOR OUT PREFEITURAS CMR;4687;147;4540;;
ESTATUTARIOS;MEDICO;11531;1469;10062;;
A DISPOSICAO COMISSIONADO;SERVIDOR EMPREL DISP.CAMARA;894;0;894;;
ESTATUTARIOS;ASSISTEN ADMINIST. LEGISLATI;3880;23;3856;;
ESTATUTARIOS;ASSISTEN ADMINIST. LEGISLATI;3245;0;3245;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;3432;188;3244;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;6197;870;5327;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;9415;1792;7623;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;4795;486;4309;;
ESTATUTARIOS;ASSISTEN ADMINIST. LEGISLATI;3245;0;3245;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;4867;503;4364;;
ESTATUTARIOS;CONSULTOR LEGISLATIVO;10555;1339;9216;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;3130;161;2969;;
A DISPOSICAO COMISSIONADO;SERVIDOR EMLURB DISP.CAMARA;650;72;578;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;18193;4206;13988;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;18193;4206;13988;;
VEREADORES;VEREADOR;14635;2884;11751;;
ESTATUTARIOS;ASSESSOR JURIDICO;11329;1525;9804;;
ESTATUTARIOS;ANALISTA DE SISTEMAS;6739;380;6359;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;4770;451;4319;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;8142;1442;6700;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;5205;586;4619;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;2673;106;2566;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;6246;885;5361;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;3432;169;3263;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;7969;1394;6575;;
ESTATUTARIOS;ASSISTEN ADMINIST. LEGISLATI;3245;0;3245;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;6712;1035;5676;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;4788;484;4304;;
ESTATUTARIOS;ASSISTEN ADMINIST. LEGISLATI;3245;0;3245;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;6712;1035;5676;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;11322;2316;9006;;
ESTATUTARIOS;ASSESSOR EM TAQUIGRAFIA;16294;4474;11820;;
